gnbid,type,timestamp,MM5G_DEREGISTERED,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000843,11,1764419807504554800,0.714752,0.0512,0.050688,9.381376,28.787968,50.3744,261.244416,283.93728
0000000743,10,1764419807506098400,0.892416,0.045312,0.045056,7.873024,27.352832,48.828416,258.866688,281.047552
0000000844,11,1764419807604604200,0.4992,0.068864,0.056064,142.245632,165.419008,187.65184,397.420544,417.242368
0000000744,10,1764419807606675700,0.466176,0.080384,0.079616,135.8848,173.040384,193.803776,402.41408,422.983168
0000000243,5,1764419807631302100,1.1648,0.123904,0.12288,5.818624,20.496128,41.904896,234.89152,257.258496
0000000845,11,1764419807706618400,0.644608,0.05376,0.053504,43.296512,72.857088,94.72768,298.242304,319.35744
0000000745,10,1764419807706912800,2.171648,0.032,0.031488,36.140544,68.370432,89.505536,302.240256,322.641664
0000000244,5,1764419807731465500,0.667648,0.168704,0.150528,130.763008,145.65632,166.738176,370.105088,392.84352
0000000943,12,1764419807760002000,0.985344,0.027904,0.027648,6.175232,23.751424,44.937984,255.051008,276.50816
0000000846,11,1764419807806674000,0.4224,0.026112,0.025856,189.800448,224.096256,244.617216,495.64032,517.571584
0000000746,10,1764419807806868200,0.460288,0.03072,0.030464,192.374784,232.20352,253.645568,478.08896,499.102976
0000000245,5,1764419807831812400,0.660992,0.064256,0.063488,30.471936,51.25888,72.68096,269.524224,292.544256
0000000944,12,1764419807860439800,0.321024,0.03456,0.034048,139.607552,178.489856,200.065024,428.216832,448.477696
0000000847,11,1764419807907064600,0.26112,0.018688,0.018688,89.683712,126.39488,147.256832,409.035008,430.0032
0000000747,10,1764419807907187000,0.47616,0.029184,0.028416,92.507904,133.23776,153.689856,384.445184,406.379776
0000000246,5,1764419807933947100,1.05856,0.4608,0.459776,161.284352,184.621056,205.309952,422.641152,443.556352
0000000945,12,1764419807960610600,0.345344,0.02432,0.024064,40.306432,90.939392,111.543808,357.73312,378.78528
0000000848,11,1764419808007238400,0.448512,0.029696,0.02944,10.58432,41.466624,62.939904,311.869952,331.123712
0000000748,10,1764419808007412000,0.6592,0.015872,0.015616,14.302464,46.359808,67.004672,308.504576,329.654016
0000000247,5,1764419808033821400,0.285696,0.018688,0.018432,61.343232,78.194176,99.267328,320.931584,342.252288
0000000946,12,1764419808060618200,0.243456,0.015872,0.015616,205.497344,287.656192,308.356096,338.265088,359.954688
0000000643,9,1764419808070613800,0.785408,0.091904,0.091136,5.069568,19.422464,40.887808,248.892928,270.784512
0000000849,11,1764419808107535000,0.25344,0.02048,0.020224,173.709056,244.991744,266.020352,322.01344,343.500288
0000000749,10,1764419808107850500,1.03936,0.02304,0.022784,161.966848,223.265536,244.476416,281.938688,304.395776
0000000248,5,1764419808133825000,0.311552,0.017664,0.017408,210.19264,262.12992,283.561472,302.81856,322.518272
0000000947,12,1764419808161113600,0.55296,0.023808,0.023296,119.523328,189.48352,210.156032,239.751424,260.751104
