gnbid,type,timestamp,MM5G_DEREGISTERED,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000043,3,1764486496289913300,0.73088,0.071168,0.072448,40.368896,138.810368,159.600384,399.148288,5422.515968
0000000044,3,1764486496489994800,0.563712,0.031488,0.032,206.394368,284.735488,306.188544,359.895296,382.585856
0000000045,3,1764486496690004500,0.621056,0.023296,0.023808,32.474368,119.383552,140.316416,204.300032,226.546176
0000000046,3,1764486496890181400,0.470016,0.039424,0.040192,27.286272,315.957504,336.62976,602.174976,624.417536
0000000047,3,1764486497090367000,1.21856,0.475136,0.476928,86.643712,359.17184,379.964416,464.792832,486.7072
0000000048,3,1764486497290491400,0.393728,0.02816,0.028672,219.64288,345.711872,367.685632,417.055488,439.789056
0000000049,3,1764486497491392800,0.903936,0.0448,0.045568,92.30848,174.287616,194.777088,258.522624,280.637184
0000000050,3,1764486497691397400,0.393728,0.029696,0.030208,66.848,329.361408,350.328576,632.56064,655.154944
0000000051,3,1764486497891645400,0.388864,0.036864,0.037376,98.37952,377.699072,398.500864,487.592704,510.504192
0000000052,3,1764486498091747600,0.793344,0.028672,0.029184,233.336064,359.444224,379.999744,440.415488,463.047936
0000000053,3,1764486498291859700,0.455424,0.039168,0.039936,103.021824,193.287168,213.929728,301.397504,324.183296
0000000054,3,1764486498492043500,0.314624,0.023296,0.023808,56.562176,339.95264,360.523776,607.015936,629.825024
0000000055,3,1764486498692218600,0.647168,0.029952,0.030464,155.436544,449.023232,469.763584,528.716544,550.963712
0000000056,3,1764486498892443400,0.334848,0.054528,0.05504,216.516096,353.056,373.895168,433.199616,455.98592
0000000057,3,1764486499092614400,0.335104,0.04096,0.041472,67.477248,183.219968,204.035328,294.78528,317.417472
0000000058,3,1764486499292669200,0.425472,0.02816,0.028672,51.641088,341.987072,362.484992,621.99424,644.848896
0000000059,3,1764486499492774400,0.38272,0.029184,0.02944,161.58208,466.92736,487.501312,547.940352,570.5088
0000000060,3,1764486499692904400,0.366336,0.029184,0.029952,233.565952,369.033984,389.782784,447.06048,469.4976
0000000061,3,1764486499893015000,0.475904,0.027904,0.028416,83.265792,202.121984,222.834688,307.109632,328.818176
0000000062,3,1764486500093569500,0.32512,0.041216,0.041984,98.097408,361.10208,382.312704,634.425856,656.916224
0000000063,3,1764486500293207600,0.474624,0.02688,0.027392,181.488896,481.140736,501.882112,556.835328,581.316352
0000000064,3,1764486500493372400,0.468224,0.038656,0.039424,246.228992,379.551744,400.359168,454.531072,476.397824
0000000065,3,1764486500694159000,0.338944,0.0256,0.026112,95.556864,207.85664,228.59904,303.421184,325.291776
0000000066,3,1764486500894905600,0.456704,0.028672,0.028928,63.508224,345.515264,366.54336,612.407552,634.648832
0000000067,3,1764486501095005000,0.494848,0.037376,0.037888,160.777216,451.573248,472.611584,524.909568,547.21536
0000000068,3,1764486501295125500,0.420864,0.027904,0.028416,221.331456,347.573504,368.18304,425.485056,447.770112
0000000069,3,1764486501495230000,0.482304,0.026368,0.026624,67.46496,179.77856,200.600576,266.502912,288.739072
0000000070,3,1764486501695506200,0.400384,0.041472,0.04224,78.014976,335.93472,357.497856,616.058112,5638.985728
0000000071,3,1764486501895518000,0.891392,0.02688,0.027392,102.290432,377.48096,398.092544,466.037504,488.393984
0000000072,3,1764486502095723000,0.39936,0.039936,0.040448,226.408448,333.009152,353.636864,411.228672,433.85344
0000000073,3,1764486502295881500,0.247296,0.03968,0.040192,73.604352,164.660992,185.529856,260.31232,282.771968
0000000074,3,1764486502496148500,0.358656,0.037632,0.0384,69.724672,326.415616,347.08992,613.106688,635.332352
0000000075,3,1764486502696284000,0.288,0.027136,0.027392,96.55936,370.340096,391.70816,463.316736,486.480384
0000000076,3,1764486502896492500,0.506624,0.041472,0.041984,221.225728,337.416192,358.132992,418.009856,440.127488
0000000077,3,1764486503096589300,0.386304,0.026112,0.026624,76.61952,175.065344,195.769344,258.054144,279.257344
0000000078,3,1764486503296834600,0.238336,0.036864,0.037632,66.55744,326.688512,347.853824,606.553088,628.476928
0000000079,3,1764486503496991700,0.318464,0.027136,0.027392,97.998592,367.526912,388.131072,454.772992,476.527616
0000000080,3,1764486503697126100,0.334848,0.0384,0.038912,214.531072,311.13856,331.76576,377.260288,401.155584
0000000081,3,1764486503897186800,0.279296,0.0384,0.041216,63.989248,138.377984,158.998528,216.793088,238.915328
0000000082,3,1764486504097358800,0.871168,0.566272,0.568832,37.54752,296.148736,317.876224,580.593152,602.643456
0000000083,3,1764486504297451500,0.310784,0.031232,0.031488,64.873728,339.87968,360.61824,430.42432,453.086208
0000000084,3,1764486504497635300,0.332544,0.028416,0.028928,189.402112,294.2528,315.047168,570.663424,593.497088
0000000085,3,1764486504697781800,0.378112,0.04096,0.041472,53.202432,330.790912,351.666688,421.82528,444.634112
0000000086,3,1764486504897924000,0.31872,0.036608,0.037376,179.843584,284.082688,304.700672,562.533632,584.984064
0000000087,3,1764486505098116400,0.451328,0.03712,0.037888,46.956032,323.352832,344.11776,416.798976,438.520832
0000000088,3,1764486505298327800,0.339456,0.026112,0.026368,174.072832,286.663936,307.386368,566.60224,588.415488
0000000089,3,1764486505498410800,0.5504,0.05632,0.0576,40.429056,327.03232,347.766784,416.604928,439.254784
0000000090,3,1764486505698594600,0.518912,0.038912,0.039424,6176.79232,10454.372096,10475.831552,,
0000000091,3,1764486505898834700,0.359424,0.041728,0.042496,9040.1408,10786.523392,10807.470336,,
0000000092,3,1764486506098918400,0.399104,0.03968,0.040192,9065.906432,10658.500864,10679.331328,,
0000000093,3,1764486506299029800,0.362496,0.028928,0.02944,8883.496448,10498.521856,10519.446272,,
0000000094,3,1764486506499149000,0.391168,0.025344,0.025856,8702.969088,10354.715136,10375.387392,,
0000000095,3,1764486506699372000,0.278272,0.038656,0.039168,8522.16832,10195.17056,10215.94624,,
0000000096,3,1764486506899536000,0.306688,0.027392,0.027904,8340.960256,10044.83456,10065.543424,,
0000000097,3,1764486507099735600,0.398848,0.037376,0.037888,8158.823168,15877.65504,15898.458624,,
0000000098,3,1764486507299961900,0.464896,0.03968,0.040448,7976.658176,15789.731584,15810.25408,,
0000000099,3,1764486507500137000,0.285184,0.024576,0.025088,7799.153664,21551.438848,21572.058624,,
0000000100,3,1764486507700345300,0.394496,0.035584,0.036096,7619.942912,21493.755648,21514.283264,,
0000000101,3,1764486507900554500,0.407296,0.026368,0.02688,7439.986432,21293.677568,21314.281728,,
0000000102,3,1764486508100766700,0.362752,0.053504,0.054272,7261.344,33071.962368,33092.574976,,
0000000103,3,1764486508300923400,0.358656,0.045056,0.04608,7083.396608,33013.580288,33034.315264,,
0000000104,3,1764486508501031000,0.345856,0.025856,0.026112,6905.10464,32813.248512,32833.812736,,
0000000105,3,1764486508701244200,0.3648,0.041216,0.041728,6729.259264,32612.768768,32633.604608,,
0000000106,3,1764486508901406200,0.430592,0.038144,0.038912,6549.966336,32415.70944,32436.357888,,
0000000107,3,1764486509101552000,0.466944,0.025856,0.026368,6370.72896,32356.215296,32376.961024,,
0000000108,3,1764486509301727000,0.396288,0.039168,0.03968,6220.421376,32156.152832,32176.9024,,
0000000109,3,1764486509501933000,0.367104,0.054016,0.054784,6039.704064,31956.361728,31977.06752,,
0000000110,3,1764486509702082600,0.349952,0.026368,0.02688,5859.980544,31899.411712,31920.272896,,
0000000111,3,1764486509902163000,0.36992,0.05376,0.054784,5680.506368,31699.723008,31720.2112,,
0000000112,3,1764486510102330400,0.3328,0.030976,0.031232,5497.055744,31499.410944,31519.916288,,
0000000113,3,1764486510302505500,0.413184,0.037888,0.039168,5314.221056,31301.986304,31322.536192,,
0000000114,3,1764486510502701600,0.407808,0.038656,0.039168,5131.736576,31243.25888,31264.32384,,
0000000115,3,1764486510702851600,0.329728,0.023808,0.024064,4951.050752,31042.79808,31063.754752,,
0000000116,3,1764486510902979300,0.444672,0.027392,0.027648,4771.027968,30843.571968,30864.314368,,
0000000117,3,1764486511103246800,0.422656,0.043776,0.044544,4590.240512,30643.530496,30664.22272,,
0000000118,3,1764486511303383000,0.46336,0.037376,0.037888,4405.494272,30477.200896,30497.95968,,
0000000119,3,1764486511503574800,0.391424,0.04096,0.041728,4222.972416,30418.879744,30439.775488,,
0000000120,3,1764486511703747800,0.374016,0.054272,0.05504,4043.80928,30218.295296,30239.163648,,
0000000121,3,1764486511903746800,0.35968,0.046336,0.046848,3863.7504,30017.976064,30039.043072,,
0000000122,3,1764486512103978800,0.402176,0.043776,0.044544,3682.356992,29835.117568,29855.918848,,
0000000123,3,1764486512304190000,0.437504,0.03328,0.033536,3501.654016,31281.202176,31302.025728,,
0000000124,3,1764486512504360400,0.457216,0.02944,0.029952,3322.956032,31282.011904,31302.455552,,
0000000125,3,1764486512704613400,0.476672,0.041728,0.042496,3146.61504,31082.053888,31102.892288,,
0000000126,3,1764486512904723700,0.37248,0.027904,0.02816,2973.858304,30881.128192,30901.814784,,
0000000127,3,1764486513104882200,0.345088,0.025856,0.026112,2795.678464,30682.268416,30702.893568,,
0000000128,3,1764486513305118200,0.41728,0.05504,0.056064,2630.847488,30482.109696,30503.051008,,
0000000129,3,1764486513505198800,0.356864,0.048384,0.048896,2451.387648,30484.60416,30506.338304,,
0000000130,3,1764486513705442000,0.460288,0.046592,0.04736,2271.430912,30284.211456,30305.534208,,
0000000131,3,1764486513905611000,0.393216,0.04096,0.041728,2125.240832,30084.295936,30104.970752,,
0000000132,3,1764486514105828000,0.315904,0.027392,0.027904,1943.1936,29884.441088,29905.085952,,
0000000133,3,1764486514306016500,0.332544,0.039168,0.039936,1761.728512,29684.685568,29705.259776,,
0000000134,3,1764486514506197000,0.342272,0.041216,0.041984,1581.604608,29484.014336,29504.738304,,
0000000135,3,1764486514706385400,0.361984,0.04096,0.041472,1397.60256,29487.524352,29508.18688,,
0000000136,3,1764486514906566100,0.366848,0.040192,0.04096,1214.61632,29287.933696,29308.4416,,
0000000137,3,1764486515106742300,0.397312,0.038144,0.038912,1072.041984,29087.740928,29108.802816,,
0000000138,3,1764486515307621600,0.392448,0.077824,0.089088,973.277184,40723.91936,40744.5312,,
0000000139,3,1764486515507793000,0.474624,0.057344,0.058112,861.599232,,,,
0000000140,3,1764486515707877600,0.412416,0.02688,0.027392,758.580992,,,,
0000000141,3,1764486515907957800,0.43008,0.04224,0.043008,639.938048,,,,
0000000142,3,1764486516108075300,0.479232,0.10368,0.13056,525.064448,,,,
