gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000443,7,1764486322098479400,0.076288,0.077824,0.80512,42.362368,280.697344,303.177472,601.769728,5624.14208
0000000643,9,1764486322106178000,0.048384,0.049152,0.528128,35.447296,304.950528,326.361856,604.642304,5628.063488
0000000343,6,1764486322112942800,0.053504,0.054272,0.649728,31.960064,228.927232,250.0608,515.012096,5536.717056
0000000243,5,1764486322120550400,0.0704,0.071936,0.604416,38.5536,1281.371136,1302.270464,,
0000000543,8,1764486322128017700,0.091136,0.092672,0.955904,44.412416,213.5872,234.862336,502.381824,5528.427776
0000000043,3,1764486322131503000,0.179968,0.181504,0.712448,41.321216,259.271168,280.449536,566.20672,5590.659584
0000000143,4,1764486322131875800,0.035072,0.036096,0.466944,41.536256,247.588864,269.010432,564.584704,5586.009856
0000000444,7,1764486322498729500,0.040448,0.041472,0.393728,229.730816,305.91744,327.040256,598.193408,621.545216
0000000644,9,1764486322506406100,0.056576,0.069632,0.539136,220.736,300.848128,321.865984,640.897792,667.557632
0000000344,6,1764486322513051400,0.041984,0.042752,0.44032,125.961728,251.460608,272.504576,516.608768,541.2672
0000000244,5,1764486322520666600,0.052736,0.067328,0.464384,911.967488,1152.8768,1173.82272,,
0000000544,8,1764486322528043300,0.057856,0.059136,0.463616,112.948736,236.850688,257.669632,500.612096,524.836608
0000000044,3,1764486322531840800,0.05632,0.057344,0.475904,202.36928,281.91232,302.675456,617.48608,639.803136
0000000144,4,1764486322532028700,0.0256,0.026112,0.323584,194.797568,274.415872,295.223296,564.261632,590.317824
0000000445,7,1764486322898834000,0.041728,0.042496,0.425984,200.683008,316.704,337.401088,628.10624,652.63872
0000000645,9,1764486322906549800,0.045056,0.04608,0.520192,250.958848,336.97792,357.856256,633.425152,656.50176
0000000345,6,1764486322913076000,0.040448,0.041216,0.3776,135.562496,237.897472,258.5984,508.597248,531.676928
0000000245,5,1764486322920841000,0.037376,0.038144,0.401664,542.785792,793.411328,814.253312,,
0000000545,8,1764486322928250000,0.033536,0.034304,0.423168,125.105408,223.474176,244.580352,494.0224,516.515584
0000000045,3,1764486322932018700,0.034048,0.034816,0.51328,237.010688,338.697984,359.48544,660.942848,683.524096
0000000145,4,1764486322932164000,0.020992,0.021504,0.460288,173.562368,267.730432,288.644352,578.586624,601.84192
0000000446,7,1764486323299068200,0.042496,0.043008,0.438528,6285.888768,9889.518592,9910.300928,,
0000000646,9,1764486323306680000,0.055552,0.05632,0.41856,274.858752,349.96864,370.945536,,
0000000346,6,1764486323313221400,0.077056,0.089088,0.49408,128.858624,279.286528,300.126976,,
0000000246,5,1764486323321012200,0.055808,0.057088,0.561408,175.079424,443.842816,464.772352,,
0000000546,8,1764486323328384300,0.043264,0.044032,0.432128,112.640768,239.02336,259.706368,,
0000000046,3,1764486323332171300,0.036096,0.03712,0.357888,6275.127552,9853.175808,9873.805056,,
0000000146,4,1764486323332284000,0.031744,0.032256,0.309504,206.168064,302.975488,323.860736,,
0000000447,7,1764486323699106000,0.035584,0.036096,0.35584,8925.79456,9789.096192,9809.736704,,
0000000647,9,1764486323706850600,0.157696,0.16896,0.515328,265.896192,322.487296,343.278336,,
