gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000043,3,1764407296606956500,0.07808,0.077824,1.668864,51.207424,157.226752,178.419968
0000000044,3,1764407297107558400,0.242944,0.240384,0.783104,99.099904,169.439488,190.296832
0000000045,3,1764407297607550500,0.033536,0.03328,0.382208,108.471808,179.76192,200.659712
0000000046,3,1764407298107717400,0.041472,0.040704,0.568576,119.905024,188.422656,209.046528
0000000047,3,1764407298607767000,0.019456,0.0192,0.38784,125.838592,188.93568,210.093056
0000000048,3,1764407299107965000,0.022528,0.022272,0.483328,122.308352,189.302272,210.155008
0000000049,3,1764407299608146700,0.024576,0.02432,0.388864,135.056896,213.1136,234.589184
0000000050,3,1764407300108289500,0.02816,0.027904,0.393984,158.389504,225.106688,245.718016
0000000051,3,1764407300608910300,0.063232,0.062976,0.41728,165.298432,259.291136,280.677632
0000000052,3,1764407301109227800,0.02688,0.026624,0.395264,205.81504,296.679424,318.044416
0000000053,3,1764407301609421300,0.029952,0.029696,0.29312,228.161536,313.701888,334.758144
0000000054,3,1764407302109586200,0.030208,0.029952,0.438784,200.30592,289.9648,310.534144
0000000055,3,1764407302609753300,0.024576,0.02432,0.77696,223.732224,290.620928,311.547904
0000000056,3,1764407303110038500,0.0192,0.018944,0.265472,228.862464,301.183744,321.9264
0000000057,3,1764407303610031000,0.06784,0.060416,0.691712,154.0032,238.217216,258.919424
0000000058,3,1764407304110231600,0.028416,0.02816,0.444928,183.00032,260.154368,280.953856
0000000059,3,1764407304610727200,0.02432,0.024064,0.328192,197.743872,263.115776,284.284672
0000000060,3,1764407305111248600,0.030464,0.029952,0.34816,198.961152,290.86976,311.892992
0000000061,3,1764407305611267800,0.036864,0.02944,0.27136,228.59008,305.86624,326.892544
0000000062,3,1764407306111548200,0.032768,0.032256,0.3904,190.629376,285.486336,306.499072
0000000063,3,1764407306611725300,0.065792,0.052992,0.509952,217.768448,282.515712,304.333568
0000000064,3,1764407307111815700,0.030464,0.030208,0.348416,235.240192,316.707328,338.615552
0000000065,3,1764407307612266200,0.030464,0.029952,0.87808,164.57984,225.600256,247.103232
0000000066,3,1764407308112317200,0.022272,0.022016,0.308736,159.540224,227.017216,247.86944
0000000067,3,1764407308612446000,0.036608,0.036352,0.30592,168.805888,237.351424,259.311616
0000000068,3,1764407309112541400,0.065024,0.059904,0.336128,167.483648,228.280576,249.216
0000000069,3,1764407309612756200,0.037632,0.037376,0.385024,162.534656,227.614208,248.696832
0000000070,3,1764407310112920000,0.045312,0.044288,0.697344,162.182656,219.11168,240.76928
0000000071,3,1764407310614000600,0.11776,0.11648,0.512768,157.109504,223.174144,243.901184
0000000072,3,1764407311114133800,0.027136,0.02688,1.45792,156.03456,238.499072,260.06144
0000000073,3,1764407311614758700,0.027392,0.027136,0.31488,169.983488,235.218688,256.43264
0000000074,3,1764407312114798000,0.021504,0.021248,0.379648,167.757056,232.126464,253.299968
0000000075,3,1764407312614992000,0.028672,0.028416,0.33664,166.104832,229.554176,250.53312
0000000076,3,1764407313115227100,0.040704,0.040448,0.395264,161.644544,227.555072,248.472064
0000000077,3,1764407313615325700,0.022528,0.022272,0.328448,165.065216,226.592,247.633408
0000000078,3,1764407314115707000,0.045568,0.043776,0.283904,161.272064,224.047872,244.766208
0000000079,3,1764407314616139000,0.187648,0.185856,0.827904,155.948288,214.4,236.449024
0000000080,3,1764407315116221400,0.056064,0.050176,0.311296,158.535936,219.309824,240.015872
0000000081,3,1764407315616626700,0.023808,0.023552,0.250112,154.229248,225.268992,246.375936
0000000082,3,1764407316116782800,0.0256,0.025344,0.347392,159.3024,229.6,251.510016
0000000083,3,1764407316616883500,0.027904,0.027648,0.3328,165.739776,224.92672,245.520128
0000000084,3,1764407317116953000,0.033024,0.032512,0.25088,159.293696,216.944896,237.860352
0000000085,3,1764407317617029400,0.042496,0.04224,0.28544,148.964352,207.89376,228.824064
0000000086,3,1764407318117091800,0.023808,0.023552,0.254976,142.207744,197.33632,218.059264
0000000087,3,1764407318617264400,0.02176,0.021504,0.50816,126.526976,183.24608,203.92576
0000000088,3,1764407319117354000,0.019712,0.019456,0.325632,116.719872,179.590144,200.095488
0000000089,3,1764407319617598700,0.092928,0.081152,0.525312,112.139776,171.72096,193.241856
0000000090,3,1764407320119413500,0.031488,0.031232,0.742656,103.321344,161.51936,182.250752
0000000091,3,1764407320621366300,0.06912,0.068864,0.587008,93.33248,169.223168,189.87648
0000000092,3,1764407321121394200,0.064768,0.064512,0.621824,102.873856,173.300224,195.047424
0000000093,3,1764407321621783600,0.025856,0.0256,0.212992,106.66368,182.047488,202.965248
0000000094,3,1764407322121885000,0.03072,0.030464,0.314368,116.364032,174.641152,195.262976
0000000095,3,1764407322622613500,0.022272,0.022016,0.270848,106.171136,172.66048,193.281024
0000000096,3,1764407323122816800,0.023296,0.02304,0.441088,106.879744,166.837504,188.229376
0000000097,3,1764407323623297800,0.047616,0.046848,0.590848,98.175744,159.106048,179.837952
0000000098,3,1764407324123840300,0.019968,0.019968,0.412928,92.167424,150.692608,171.767552
0000000099,3,1764407324624115700,0.019968,0.019712,0.33792,86.310656,143.997184,165.082624
0000000100,3,1764407325126453800,0.022272,0.022016,0.240896,77.762304,164.038144,184.639232
0000000101,3,1764407325627011000,0.024576,0.02432,0.226816,99.480064,158.857216,180.212992
0000000102,3,1764407326127236000,0.059136,0.058368,0.532992,94.566656,163.302144,184.143104
0000000103,3,1764407326627330800,0.04736,0.047104,0.3904,95.302144,156.356864,177.04064
0000000104,3,1764407327127405800,0.024064,0.023808,0.932352,101.732096,176.29696,197.30048
0000000105,3,1764407327628209700,0.025856,0.0256,0.26752,112.832256,177.474048,198.199296
0000000106,3,1764407328129047800,0.121088,0.067072,0.573696,114.704896,201.436416,222.030336
0000000107,3,1764407328629142800,0.104448,0.078848,0.457984,139.373312,208.570112,229.625088
