gnbid,type,timestamp,MM5G_NULL,MM5G_DEREGISTERED,SM5G_PDU_SESSION_INACTIVE,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000043,3,1764420000377941800,0.041216,1.039872,0.041728,41.213184,146.92608,167.695872,424.25216,5447.594752
0000000044,3,1764420000878876200,0.024832,0.237568,0.025088,155.027456,219.046144,241.39136,480.790784,505.859072
0000000045,3,1764420001379183000,0.045568,0.3904,0.046336,219.596544,285.123072,306.558464,539.447552,561.962496
0000000046,3,1764420001879177700,0.026368,0.356096,0.02688,64.820224,325.855232,347.637504,583.590144,607.319552
0000000047,3,1764420002379970800,0.13568,0.686848,0.137472,95.769856,157.998592,178.8288,407.652096,430.897664
0000000048,3,1764420002880259300,0.047104,0.628736,0.04736,137.964544,190.78912,212.07168,448.324352,471.01696
0000000049,3,1764420003380545800,0.081152,0.782336,0.08192,177.254912,243.061504,263.828736,501.522176,524.264192
0000000050,3,1764420003880840000,0.081152,1.062656,0.082176,228.918272,283.09504,305.672192,538.511616,560.87296
0000000051,3,1764420004381272000,0.028928,0.775424,0.029184,59.92448,332.834816,353.62944,586.867712,609.157888
0000000052,3,1764420004882299400,0.120832,0.466688,0.121344,97.696768,161.38368,182.582016,423.451904,446.269952
0000000053,3,1764420005383467000,0.032256,0.282624,0.032512,149.09184,202.424064,223.267328,457.326336,482.466304
0000000054,3,1764420005884535600,0.02432,0.400896,0.024832,184.59904,250.782976,271.478528,505.020928,5527.86176
0000000055,3,1764420006384905000,0.016384,0.254976,0.01664,26.561536,282.185984,303.805952,544.755456,568.118528
0000000056,3,1764420006885273300,0.0384,0.33024,0.038656,67.247872,325.918976,346.575616,585.001984,607.531264
0000000057,3,1764420007386539000,0.043264,0.835584,0.043776,98.943488,157.805312,178.862592,418.721536,442.418176
0000000058,3,1764420007886792000,0.043008,0.350976,0.043776,150.149888,202.354944,223.675904,453.784832,476.83712
0000000059,3,1764420008386754800,0.059904,0.644864,0.060416,179.610624,231.370496,252.242432,488.585984,511.781632
0000000060,3,1764420008886849500,0.019968,0.631552,0.019968,219.053824,272.750848,293.828864,526.091264,570.377472
0000000061,3,1764420009387418000,0.032512,0.352512,0.032768,69.521664,307.294976,328.714496,563.566848,585.795584
0000000062,3,1764420009887540500,0.02176,0.248832,0.022016,77.877504,135.89632,156.379392,390.037248,413.342976
0000000063,3,1764420010387564500,0.021504,0.727552,0.02176,119.923712,173.830656,195.357952,429.636864,452.435456
0000000064,3,1764420010887717000,0.024064,0.271104,0.02432,153.126912,207.063808,227.611136,462.228736,485.376
0000000065,3,1764420011388555000,0.023808,0.25728,0.024064,188.392192,245.390592,266.192384,501.047808,5525.29408
0000000066,3,1764420011888725200,0.019968,0.500992,0.020224,34.26944,289.857792,310.898688,549.60768,572.965632
0000000067,3,1764420012388882000,0.054784,0.416512,0.056832,74.5024,330.24768,350.755328,600.567552,624.349952
0000000068,3,1764420012889808600,0.103936,0.964352,0.109824,113.981184,172.826368,193.887232,426.102016,448.834304
0000000069,3,1764420013390117000,0.01792,1.196544,0.018176,157.98144,211.890176,233.06368,462.825216,486.25152
0000000070,3,1764420013890951400,0.031744,0.474624,0.032,192.348672,244.11392,265.064448,503.247616,525.832192
0000000071,3,1764420014391166200,0.025088,0.532736,0.025344,26.401024,285.124864,306.427648,536.556544,559.133696
0000000072,3,1764420014891378000,0.036352,0.379392,0.036864,58.735616,313.7408,336.076544,570.33472,594.248448
0000000073,3,1764420015391885800,0.025344,0.509952,0.0256,83.640832,145.5936,166.221056,396.22016,419.1936
0000000074,3,1764420015892035800,0.0576,0.84096,0.058368,125.88032,196.34816,217.087488,451.23968,474.578688
0000000075,3,1764420016392883000,0.021248,0.3136,0.02176,184.224,242.7648,263.665664,494.886912,521.417728
0000000076,3,1764420016892923000,0.029184,0.288512,0.02944,228.200448,278.725888,299.560448,540.452096,562.893056
0000000077,3,1764420017393241600,0.103424,0.495616,0.107264,61.62944,321.078784,342.496256,576.433152,5600.96512
0000000078,3,1764420017894032100,0.033792,0.847872,0.034048,88.990208,147.143424,168.04096,401.431552,424.639232
0000000079,3,1764420018394188300,0.041216,0.762624,0.041728,129.472256,181.835776,202.486784,435.31136,457.860352
0000000080,3,1764420018894623000,0.056576,0.521728,0.056832,163.07584,214.401792,235.265024,466.138368,489.247744
0000000081,3,1764420019394690600,0.041728,0.658432,0.04224,195.038464,257.134592,277.810176,512.018944,535.311872
0000000082,3,1764420019894907100,0.03072,0.672,0.030976,32.72576,317.808384,338.610688,577.432064,599.489536
0000000083,3,1764420020395793400,0.046848,0.708864,0.047616,97.55392,355.892992,376.812544,627.453184,652.755968
0000000084,3,1764420020896342500,0.039168,0.776448,0.039424,153.631488,242.833408,263.688704,499.463936,522.561536
0000000085,3,1764420021396450000,0.024064,0.415232,0.02432,228.199168,278.460416,299.331584,532.490496,555.552256
0000000086,3,1764420021896536600,0.06016,0.431104,0.060928,53.03296,308.20096,329.30304,560.739072,584.022016
0000000087,3,1764420022398141700,0.039168,0.544256,0.039424,74.183424,130.66496,151.628288,380.922112,403.94368
0000000088,3,1764420022898928400,0.0896,0.611328,0.090368,110.441216,163.145216,184.0512,426.4704,5449.308672
0000000089,3,1764420023399455000,0.061696,0.378368,0.061952,151.164416,206.372096,227.55328,463.20512,486.313984
0000000090,3,1764420023900213200,0.050176,0.499456,0.050944,189.8048,241.540608,262.929664,498.829056,522.691072
0000000091,3,1764420024400173300,0.020224,0.254464,0.020224,225.091328,283.012864,303.613696,536.2304,558.491136
0000000092,3,1764420024900411400,0.029184,0.35584,0.02944,57.591552,314.990592,335.617792,568.911104,591.62368
0000000093,3,1764420025400813800,0.022784,0.48768,0.02304,82.411008,143.97056,165.402112,395.744256,419.47904
0000000094,3,1764420025901151000,0.022016,0.315136,0.022272,122.736384,188.328448,209.497344,438.895872,462.731008
0000000095,3,1764420026401315800,0.022784,0.413952,0.02304,171.371264,225.972736,247.461632,479.561216,502.069248
0000000096,3,1764420026901702100,0.019456,0.317952,0.019712,207.484672,263.030784,283.603712,513.910528,538.463744
0000000097,3,1764420027401793500,0.027392,0.385536,0.027648,44.957696,297.988864,318.780928,553.759232,576.847872
0000000098,3,1764420027902687500,0.033792,0.491008,0.03456,74.262528,333.944576,356.676864,603.350016,626.922752
0000000099,3,1764420028404290800,0.045056,1.025792,0.045568,114.777856,176.33408,197.860864,429.599488,459.77088
0000000100,3,1764420028906867000,0.182016,0.70016,0.182784,157.331968,210.37056,230.865664,462.726656,485.669888
0000000101,3,1764420029406953500,0.024064,0.405248,0.02432,187.540224,238.889472,260.508672,492.757504,515.586048
0000000102,3,1764420029907195400,0.020992,0.26752,0.021248,218.468352,274.569728,295.183616,530.001408,5554.126336
0000000103,3,1764420030407318300,0.038144,0.362496,0.0384,58.092032,319.929856,341.280512,581.02144,604.64256
0000000104,3,1764420030907607800,0.131584,0.52352,0.132096,95.542528,160.540416,181.781248,417.926144,441.22624
0000000105,3,1764420031407529000,0.019968,0.420864,0.019968,158.469888,227.609344,248.388608,479.557888,501.502976
0000000106,3,1764420031907582000,0.02304,0.333312,0.023296,208.51328,260.533504,281.286656,512.328704,534.729216
0000000107,3,1764420032407985700,0.02176,0.378112,0.022016,34.612224,293.287936,313.771264,553.48224,575.996928
0000000108,3,1764420032908265000,0.025344,0.388352,0.025856,75.572736,335.176192,356.106752,592.433408,615.931392
0000000109,3,1764420033408456400,0.100096,1.358592,0.101632,107.887872,167.717376,188.458752,432.895232,456.496896
0000000110,3,1764420033909798400,0.07808,1.29536,0.079104,157.399808,208.321024,229.782272,459.094784,482.186496
