gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_NULL,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000143,4,1764420174206766000,0.03712,0.872448,0.036864,35.145984,141.193472,162.146304,404.263936,5427.540992
0000000043,3,1764420174206798000,0.04608,0.71296,0.045312,35.118848,135.342848,157.14048,404.42112,5427.472384
0000000243,5,1764420174228305400,0.040448,0.581376,0.040192,28.460544,123.645696,144.61824,386.67136,5409.659136
0000000144,4,1764420174707045400,0.02432,2.645248,0.024064,136.197376,208.671232,229.433088,474.436096,498.28736
0000000044,3,1764420174707315700,0.092672,3.888384,0.0832,135.935232,208.795648,230.04544,474.302976,498.000128
0000000244,5,1764420174728637400,0.047616,1.436672,0.04736,116.459264,187.949568,208.63232,452.836096,476.695296
0000000145,4,1764420175207293700,0.023296,0.583936,0.02304,212.107008,280.132352,301.70368,548.444928,571.33952
0000000045,3,1764420175207560700,0.02176,0.228096,0.021504,211.936,279.874816,301.059328,545.523968,568.417536
0000000245,5,1764420175228778500,0.028928,0.38016,0.028672,190.21824,258.766848,279.904768,529.801472,552.967936
0000000146,4,1764420175707587000,0.04096,0.523264,0.040704,77.932544,382.536448,404.322816,647.216384,671.939328
0000000046,3,1764420175707901400,0.038144,0.44416,0.037888,77.988352,394.275584,416.297984,679.086592,702.856192
0000000246,5,1764420175729013000,0.0448,0.36608,0.044288,55.280128,361.835776,382.895872,626.816768,653.011968
0000000147,4,1764420176208836000,0.1664,0.593152,0.16384,170.421248,250.458112,271.139584,541.979904,564.986112
0000000047,3,1764420176209020400,0.080384,0.322304,0.080128,198.281472,271.178496,291.91808,554.730752,577.277696
0000000247,5,1764420176229259800,0.023808,0.258048,0.023552,151.291904,230.06464,250.728704,520.073728,542.4064
0000000148,4,1764420176708959200,0.041984,0.512,0.041472,70.335232,350.240768,371.2064,622.408192,647.296
0000000048,3,1764420176709393200,0.030464,0.49152,0.030208,80.78336,355.488768,376.16896,622.441472,646.819328
0000000248,5,1764420176729494800,0.036096,0.301056,0.036096,51.488256,330.231552,351.113472,601.593856,625.429504
0000000149,4,1764420177209301500,0.025088,0.710912,0.024832,137.59744,210.35776,231.060992,472.347904,496.426496
0000000049,3,1764420177210280200,0.045056,0.616448,0.0448,135.227136,210.878976,231.449856,473.20448,495.586048
0000000249,5,1764420177230701800,0.026368,0.30336,0.026112,115.412224,189.033216,209.853952,451.007744,475.047168
0000000150,4,1764420177712411100,0.052992,2.77888,0.052224,200.628992,264.128768,284.99328,525.492992,549.439488
0000000050,3,1764420177713280800,0.224768,0.722432,0.224512,200.722688,262.624256,283.691776,526.791168,549.725952
0000000250,5,1764420177730885000,0.081408,0.46848,0.077056,183.877632,246.76864,267.884288,510.393856,533.52832
0000000151,4,1764420178212486100,0.028928,1.352704,0.028672,56.7424,324.381952,345.096192,594.369024,617.239808
0000000051,3,1764420178213090300,0.030976,0.319232,0.030464,56.062464,321.714944,342.365696,588.955136,611.418624
0000000251,5,1764420178230958600,0.028928,0.365824,0.028416,38.15296,305.654016,326.503168,570.564352,593.531392
0000000052,3,1764420178713148000,0.029184,0.605696,0.02816,103.027968,172.036096,192.82944,448.90112,472.0128
0000000152,4,1764420178713150500,0.025344,0.465152,0.024832,103.229696,171.811072,192.85504,442.788096,467.239936
